region,state,site_name,site_id,epa_id,address,city,zip,county,ff,lattude,longitude,final_date
7,MO,MINKER/STOUT/ROMAINE CREEK,701345,MOD980741912,4037 W ROCK CREEK RD & SWALLER,IMPERIAL,63052,JEFFERSON,N,38.44,-90.48,1983-09-08
7,MO,MISSOURI ELECTRIC WORKS,701474,MOD980965982,"S HIGHWAY 61 2 MI S HIGHWAY K T 30 N,  R 13 W",CAPE GIRARDEAU,63701,CAPE GIRARDEAU,N,37.28625,-89.555056,1990-02-21
7,MO,NEWTON COUNTY MINE TAILINGS,701651,MOD981507585,ENTIRE TOWN OF,GRANBY,64844,NEWTON,N,36.9921,-94.3848,2003-09-29
7,MO,NEWTON COUNTY WELLS,702514,MOD985798339,3200 MOORHEAD DRIVE,JOPLIN,64804,NEWTON,N,37.044722,-94.473056,2000-07-27
7,MO,OAK GROVE VILLAGE WELL,700020,MOD981717036,"NE 1/4, SW 1/4, NW 1/4, SECTION 17 T 41 N,  R 1 W",SULLIVAN,63080,FRANKLIN,N,38.220972,-91.149461,2002-09-05
7,MO,ORONOGO-DUENWEG MINING BELT,701290,MOD980686281,VARIOUS LOCATIONS,JOPLIN,64801,JASPER,N,37.101111,-94.420561,1990-08-30
7,MO,POOLS PRAIRIE,702918,MO0000958835,US HWY. 60 AND US HWY. 71 (2 MILES SOUTH),NEOSHO,64850,NEWTON,N,36.803056,-94.390278,1999-09-17
7,MO,QUALITY PLATING,701442,MOD980860555,RT 2,SIKESTON,63801,SCOTT,N,36.96305,-89.557219,1986-06-10
7,MO,RIVERFRONT,702089,MOD981720246,"PLUME, NEW HAVEN",NEW HAVEN,63068,FRANKLIN,N,38.613889,-91.214722,2000-12-01
7,MO,"SOLID STATE CIRCUITS, INC.",701392,MOD980854111,MAIN ST,REPUBLIC,65738,GREENE,N,37.118061,-93.480281,1986-06-10
7,MO,SOUTHWEST JEFFERSON COUNTY MINING,705443,MON000705443,"SLVR LK TRL & THNDR RDG RD,.5M W HWY WW",JEFFERSON COUNTY,63023,JEFFERSON,N,38.186794,-90.758975,2009-09-23
7,MO,SPORLAN VALVE PLANT #1,703541,MON000703541,611 East 7th Street,WASHINGTON,63090,FRANKLIN,N,38.5519,-91.00668,2019-05-15
7,MO,ST. LOUIS AIRPORT/HAZELWOOD INTERIM STORAGE/FUTURA COATINGS CO.,701210,MOD980633176,BROWN ROAD N OF AIRPORT,ST. LOUIS,63145,ST. LOUIS,N,38.759719,-90.360419,1989-10-04
7,MO,SYNTEX FACILITY,700881,MOD007452154,299 Extention St.,VERONA,65769,LAWRENCE,N,36.965,-93.798331,1983-09-08
7,MO,VALLEY PARK TCE,701494,MOD980968341,HIGHWAY 141 N OF MERAMEC RIVER,VALLEY PARK,63088,ST. LOUIS,N,38.552781,-90.466669,1986-06-10
7,MO,VIENNA WELLS,705803,MON000705803,545-547 N. CHESTNUT STREET (CITY HALL),VIENNA,65582,MARIES,N,38.189597,-91.944158,2010-09-29
7,MO,WASHINGTON COUNTY LEAD DISTRICT - FURNACE CREEK,705842,MON000705842,2 MI. N OF INT. OF BIG RIVER & HWY 21,CALEDONIA,63631,WASHINGTON,N,37.840531,-90.799556,2011-03-10
7,MO,WASHINGTON COUNTY LEAD DISTRICT - OLD MINES,705027,MON000705027,INTERSECTION OF HIGHWAYS 21 AND 47,Old Mines,63630,WASHINGTON,N,38.075278,-90.738333,2008-03-19
7,MO,WASHINGTON COUNTY LEAD DISTRICT - POTOSI,705023,MON000705023,500 FT EAST OF BELL ST AND VALLEY ROAD,Potosi,63664,WASHINGTON,N,37.9399,-90.7724,2008-03-19
7,MO,WASHINGTON COUNTY LEAD DISTRICT - RICHWOODS,705032,MON000705032,21 ACRES IN NORTHEAST WASHINGTON COUNTY,Richwoods,63071,WASHINGTON,N,38.16615,-90.814264,2008-03-19
7,MO,WELDON SPRING FORMER ARMY ORDNANCE WORKS,701773,MO5210021288,ST HWY 94 2 MI S US 40,ST. CHARLES,63301,ST. CHARLES,Y,38.696389,-90.729161,1990-02-21
7,MO,WELDON SPRING QUARRY/PLANT/PITS (USDOE/ARMY),701753,MO3210090004,25 MI W OF ST LOUIS,ST. CHARLES,63301,ST. CHARLES,Y,38.696944,-90.724999,1987-07-22
7,MO,WESTLAKE LANDFILL,701039,MOD079900932,13570 ST CHARLES ROCK ROAD,BRIDGETON,63044,ST. LOUIS,N,38.77,-90.445269,1990-08-30
7,NE,10TH STREET SITE,702001,NED981713837,28TH AVE & 10TH ST,COLUMBUS,68601,PLATTE,N,41.427194,-97.3595,1990-08-30
7,NE,BRUNO CO-OP ASSOCIATION/ASSOCIATED PROPERTIES,702000,NED981713829,FREMONT ST & RAILROAD ST,BRUNO,68014,BUTLER,N,41.285486,-96.959531,1996-06-17
7,NE,CLEBURN STREET WELL,701986,NED981499312,NORTH FRONT STREET,GRAND ISLAND,68801,HALL,N,40.925139,-98.347778,1992-10-14
7,NE,CORNHUSKER ARMY AMMUNITION PLANT,702020,NE2213820234,6 MI W OF,GRAND ISLAND,68802,HALL,Y,40.923331,-98.4925,1987-07-22
7,NE,GARVEY ELEVATOR,704351,NEN000704351,INDUSTRIAL PARK WEST-HIGHWAY 6 & SUMMIT AVE.,HASTINGS,68901,ADAMS,N,40.563611,-98.415556,2005-09-14
7,NE,HASTINGS GROUND WATER CONTAMINATION,701973,NED980862668,E CENTRAL HASTINGS,HASTINGS,68901,ADAMS,N,40.583331,-98.383331,1986-06-10
7,NE,IOWA-NEBRASKA LIGHT & POWER CO,702377,NED986373678,102-104 SOUTH 7TH STREET,NORFOLK,68701,MADISON,N,42.0323,-97.417028,2016-04-07
7,NE,LINDSAY MANUFACTURING CO.,701913,NED068645696,HWY 91,LINDSAY,68644,PLATTE,N,41.701669,-97.69,1989-10-04
7,NE,NEBRASKA ORDNANCE PLANT (FORMER),702031,NE6211890011,.5 MI E OF,MEAD,68041,SAUNDERS,N,41.176669,-96.453331,1990-08-30
7,NE,OGALLALA GROUND WATER CONTAMINATION,702287,NED986369247,SW CORNER OF W 1ST & C ST,OGALLALA,69153,KEITH,N,41.123889,-101.736111,1994-12-16
7,NE,OLD HWY 275 AND N 288TH STREET,704272,NEN000704272,U.S. HIGHWAY 275 AND N 288TH ST.,VALLEY,68064,DOUGLAS,N,41.329092,-96.367333,2017-08-02
7,NE,OMAHA LEAD,703481,NESFN0703481,INTERSECTION I480 & ABBOTT DRIVE,OMAHA,68102,DOUGLAS,N,41.267778,-95.929722,2003-04-30
7,NE,PARKVIEW WELL,704456,NEN000704456,INTERSECTION OF BLAINE STREET & STOLLEY PARK ROAD,GRAND ISLAND,68803,HALL,N,40.895833,-98.365,2006-04-19
7,NE,PCE SOUTHEAST CONTAMINATION,706200,NEN000706200,INTERSECTION OF 5TH STREET AND LINCOLN AVENUE,YORK,68467,YORK,N,40.859594,-97.580614,2014-05-12
7,NE,PCE/TCE NORTHEAST CONTAMINATION,706105,NEN000706105,522 W 26TH STREET,YORK,68467,YORK,N,40.888636,-97.600361,2014-05-12
7,NE,SHERWOOD MEDICAL CO.,702086,NED084626100,RT 4 S HWY 81 1 MI S OF,NORFOLK,68701,MADISON,N,41.993611,-97.421389,1992-10-14
7,NE,WEST HIGHWAY 6 & HIGHWAY 281,704738,NEN000704738,INDUSTRIAL PARK WEST-HIGHWAY 6 & SUMMIT AVE. (WELL 13),HASTINGS,68901,ADAMS,N,40.5712,-98.4095,2006-04-19
